i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,984,931,16.252416756176153,13.31755752429027,411
1,936,883,17.13137032842582,14.395590469394339,405
2,945,892,16.982062780269057,14.337918657880747,387
3,967,914,16.691466083150985,14.626158090093952,431
4,925,872,17.238532110091743,13.917531734773178,372
5,970,917,16.523446019629226,14.45833128040489,415
6,977,924,16.288961038961038,13.959583257440954,414
7,974,921,16.174809989142236,14.638490440607194,402
8,961,908,17.113436123348016,15.377457759193735,413
9,960,907,16.90297684674752,14.69294177474873,404
