i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1124,1073,4.001863932898416,0.9816566783937472,0
1,1156,1105,3.9556561085972852,0.9602163921469749,0
2,1161,1110,3.9315315315315313,0.9371205641263377,0
3,1149,1098,3.9562841530054644,0.9834243911457663,0
4,1159,1108,3.9386281588447654,0.914102662515886,0
5,1154,1103,3.9347234814143244,0.9508788179566575,0
6,1128,1077,4.004642525533891,0.9784003332199325,0
7,1137,1086,3.9714548802946594,0.9548341198338246,0
8,1139,1088,3.9650735294117645,0.9484278758924667,0
9,1138,1087,3.9650413983440664,0.962341313284418,0
