i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,704,671,7.557377049180328,4.137635952103679,0
1,708,675,7.468148148148148,4.012954058340117,0
2,704,671,7.667660208643815,4.4311067179591515,0
3,714,681,7.298091042584435,4.06635266084272,0
4,709,676,7.576923076923077,4.492103525392111,0
5,685,652,7.77760736196319,4.365360206833558,0
6,708,675,7.574814814814815,4.747392555584335,0
7,693,660,7.601515151515152,4.379047648790373,0
8,717,684,7.68859649122807,4.24998642113957,0
9,720,687,7.427947598253275,4.266620622610261,0
