i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1641,1559,3.9230275817831943,0.9397375576393456,0
1,1607,1525,3.9868852459016395,0.9743388527336119,0
2,1664,1582,3.939317319848293,0.9299669198422639,0
3,1637,1555,3.9311897106109326,0.933009271995977,0
4,1651,1569,3.951561504142766,0.9201098232711588,0
5,1607,1525,3.978360655737705,0.9444526219844701,0
6,1645,1563,3.926423544465771,0.925413814376991,0
7,1631,1549,3.9916074887023885,0.9684803032123163,0
8,1642,1560,3.9288461538461537,0.9631352126621798,0
9,1683,1601,3.9131792629606497,0.9473761119712423,0
