i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2563,2304,9.858072916666666,27.02629080908923,417
1,2625,2355,8.62547770700637,23.087074823860622,431
2,2610,2331,8.308022308022307,17.655369496691662,382
3,2630,2348,7.899063032367973,21.438842516742746,459
4,2571,2298,9.84638816362054,25.106880105721274,423
5,2601,2332,8.117924528301886,13.91795628620447,398
6,2601,2331,7.648219648219648,16.534761688823785,341
7,2580,2304,7.715711805555555,16.776652603651616,393
8,2546,2278,10.35908691834943,29.1577426057537,404
9,2575,2297,9.151501959077057,19.175305159434636,377
