i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,228,217,6.8018433179723505,2.971817906821223,0
1,233,222,6.95945945945946,3.4160690326373455,0
2,231,220,6.8,2.505630024201861,0
3,248,237,6.362869198312236,2.2917879896801043,0
4,226,215,6.590697674418605,2.4054022487656166,0
5,241,230,6.604347826086957,2.452146931704784,0
6,233,222,7.018018018018018,3.9007552560040106,0
7,226,215,6.920930232558139,3.0005083398414487,0
8,238,227,6.704845814977974,2.5836018548741055,0
9,227,216,6.518518518518518,1.7265973896520752,0
