i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1789,1595,3.0413793103448277,0.679880574759696,0
1,1800,1605,3.094704049844237,0.7939039484671295,0
2,1784,1589,3.011327879169289,0.19398782535120304,0
3,1763,1568,3.00765306122449,0.30294911346259407,0
4,1783,1589,3.001258653241032,0.0501569763251637,0
5,1774,1579,3.018999366687777,0.35893553396445377,0
6,1789,1594,3.0112923462986196,0.25021538747572386,0
7,1774,1579,3.0037998733375555,0.11248024458160008,0
8,1764,1570,3.0,0.0,0
9,1783,1588,3.0516372795969775,0.5450520178726593,0
