i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1549,1390,12.167625899280576,12.60643729489504,745
1,1692,1533,12.564905414220483,11.620235401385687,715
2,1707,1548,13.027131782945736,12.19381754607532,703
3,1649,1490,12.628187919463087,10.575266068570668,642
4,1309,1150,11.463478260869564,11.128497147920134,702
5,1677,1518,12.77733860342556,10.942198731291214,706
6,1636,1477,12.276235612728504,11.408678824413606,722
7,1600,1441,12.825815405968077,11.20490126680988,669
8,1358,1199,11.804837364470393,10.94303743679168,688
9,1496,1337,11.736724008975317,10.619386698875497,686
