i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2220,2068,6.125241779497099,5.150658742639503,0
1,2377,2225,6.031460674157303,4.512245398976912,0
2,2347,2195,6.096127562642369,4.817239215594899,0
3,2365,2213,6.079530049706281,4.609171916183855,0
4,1945,1793,5.638036809815951,6.545311025821961,0
5,1954,1802,5.952830188679245,7.882706685335651,0
6,2356,2204,6.05535390199637,4.672060778339219,0
7,2420,2268,6.152116402116402,4.4085114806459,0
8,1805,1653,4.845130066545675,6.043117572259959,0
9,2124,1972,5.721602434077079,4.871375999234405,0
