i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,701,670,3.9895522388059703,1.0081213988076008,0
1,717,686,3.956268221574344,0.9633881284688325,0
2,708,677,3.9719350073855244,0.9680774511694887,0
3,721,690,3.933333333333333,0.9682894923847939,0
4,685,654,4.041284403669724,0.9497185492472373,0
5,700,669,3.991031390134529,0.9610860420277566,0
6,711,680,3.9573529411764707,0.9344416666511091,0
7,698,667,3.9880059970014994,0.9687037103907239,0
8,699,668,3.9850299401197606,0.9348943225376706,0
9,697,666,3.9954954954954953,0.9733586989833792,0
