i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2050,1952,8.382684426229508,5.442562168481886,0
1,2020,1922,8.312174817898024,5.484852621306354,0
2,2044,1946,8.500513874614594,5.681350980631364,0
3,2032,1934,8.386246122026888,5.646720921002987,0
4,2032,1934,8.215098241985523,5.40014741513012,0
5,2049,1951,8.320348539210661,5.558079815619619,0
6,2025,1927,8.365334717176959,5.4661673169649925,0
7,2016,1918,8.27007299270073,5.6358056767012075,0
8,2060,1962,8.192150866462793,5.497221943351626,0
9,2026,1928,8.400414937759336,5.7065551440478535,0
