i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1946,1829,3.076544559868781,0.30780245596213296,0
1,1968,1850,3.0816216216216215,0.30373809409222247,0
2,1961,1842,3.0814332247557004,0.3018087136129903,0
3,1846,1728,3.3292824074074074,0.4927943225323627,0
4,1983,1865,3.074530831099196,0.29348622328579343,0
5,2346,2204,3.0362976406533577,0.1870297354335862,0
6,2355,2219,3.189274447949527,0.48525102652928376,0
7,2342,2204,3.146551724137931,0.41175104868171714,0
8,1980,1861,3.0854379365932294,0.3139385689656328,0
9,2346,2206,3.057570262919311,0.2569863144696261,0
