i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1384,1319,8.329795299469295,5.42182285178953,0
1,1384,1319,8.478392721758908,5.626829359175408,0
2,1369,1304,8.436349693251534,5.660832835639297,0
3,1380,1315,8.464638783269962,5.470217024870244,0
4,1378,1313,8.284843869002286,5.233865672752912,0
5,1379,1314,8.407914764079148,5.520362037190511,0
6,1392,1327,8.397889977392614,5.277664335473856,0
7,1373,1308,8.124617737003058,5.210161744546298,0
8,1358,1293,8.48414539829853,5.537115502698878,0
9,1385,1320,8.509848484848485,5.519790288183783,0
