i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1409,1215,8.65679012345679,8.231620328695149,910
1,1413,1219,8.995898277276456,8.803058025015249,946
2,1457,1263,9.340459224069676,8.306366622754815,959
3,1413,1219,8.63084495488105,7.905298802891613,913
4,1456,1262,9.221870047543582,8.888456356861692,974
5,1398,1204,9.049833887043189,8.120306462740087,856
6,1493,1299,8.767513471901463,7.609492727866531,1005
7,1784,1590,10.463522012578617,10.077791271087307,886
8,1162,968,7.109504132231405,4.329458071413983,859
9,1509,1315,9.116349809885932,8.443739034422803,1013
