i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1138,1084,8.13929889298893,5.047008345087833,0
1,1139,1085,7.982488479262673,5.119463832912897,0
2,1160,1106,8.004520795660037,4.989770493769205,0
3,1153,1099,8.095541401273886,5.250500920932727,0
4,1169,1115,8.078026905829596,5.129901061047578,0
5,1172,1118,8.020572450805009,5.038006430696052,0
6,1177,1123,8.138913624220837,5.0655831947523815,0
7,1149,1095,7.789041095890411,4.501675841492007,0
8,1152,1098,8.02367941712204,4.918588985616772,0
9,1142,1088,8.143382352941176,5.212720614683604,0
