i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1785,1590,3.020125786163522,0.3165815590790314,0
1,1793,1598,3.021276595744681,0.27774863225374136,0
2,1777,1582,3.027812895069532,0.40755835568056337,0
3,1775,1580,3.018987341772152,0.4634968762248016,0
4,1779,1584,3.0126262626262625,0.2656080725414108,0
5,1779,1584,3.0681818181818183,0.6516472734250877,0
6,1786,1591,3.010056568196103,0.3169614288792061,0
7,1784,1589,3.041535556954059,0.4661335231970565,0
8,1781,1586,3.0113493064312737,0.25084436537322047,0
9,1790,1596,3.0350877192982457,0.44074660946961214,0
