i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1441,1282,12.201248049921997,14.094125251930265,739
1,1393,1234,11.615883306320908,11.010747979102788,628
2,1506,1347,12.114328136599852,11.076181949695009,719
3,1605,1446,11.87551867219917,10.568867659158949,659
4,1580,1421,12.229415904292752,10.871432468788765,629
5,1658,1499,13.026017344896598,12.088234244661288,623
6,1702,1543,12.489306545690214,11.69324861730842,698
7,1920,1761,12.981260647359456,10.415130674299164,668
8,1330,1171,11.588385994876175,11.212473308121522,642
9,1498,1339,11.89544436146378,10.606033560170642,680
