i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,238,227,6.647577092511013,2.7073127982686227,0
1,228,217,7.0691244239631335,3.03433738744261,0
2,242,231,6.70995670995671,2.803497428859853,0
3,233,222,6.423423423423423,2.0883613540374015,0
4,231,220,6.954545454545454,3.025306486761792,0
5,233,222,6.81981981981982,2.9855453519610426,0
6,236,225,6.555555555555555,2.2326422369078056,0
7,240,229,6.637554585152839,2.5601216457244615,0
8,232,221,6.285067873303167,1.6573444440589118,0
9,241,230,6.852173913043479,3.4809880612834236,0
