i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1515,1427,15.987386124737212,13.179419861429558,558
1,1559,1471,15.847042828008158,12.663145662923677,579
2,1490,1402,16.15049928673324,13.22156315553033,540
3,1548,1460,15.85,13.001479104475367,548
4,1505,1417,15.87861679604799,13.353219993100376,515
5,1522,1434,16.03626220362622,13.364280186868207,537
6,1489,1401,16.18058529621699,13.070863575292,514
7,1486,1398,16.173819742489272,13.173779660035672,551
8,1505,1417,16.13408609738885,13.268321606400692,538
9,1496,1408,16.05752840909091,12.898542580827502,549
