i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1224,1048,10.006679389312977,8.908941025448462,753
1,1584,1408,10.640625,9.154457288432702,798
2,1616,1440,10.629861111111111,8.968994275505098,792
3,1522,1346,10.827637444279347,9.322041332060085,781
4,1600,1424,11.314606741573034,10.569229246630037,722
5,1562,1386,11.218614718614718,10.416186473443053,828
6,1705,1529,11.854153041203402,11.223412769636422,681
7,1766,1590,11.931446540880502,11.569628633303271,651
8,1540,1364,10.853372434017595,11.113143604194596,792
9,1614,1438,10.502086230876216,9.68486386776859,836
