i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1633,1557,8.306358381502891,5.382532409506276,0
1,1584,1508,8.448938992042441,5.39322865451535,0
2,1625,1549,8.33828276307295,5.473378251585177,0
3,1615,1539,8.394411955815464,5.430378772062791,0
4,1602,1526,8.57208387942333,5.631169735552741,0
5,1608,1532,8.509791122715404,5.791348838249338,0
6,1596,1520,8.496052631578948,5.322740212113585,0
7,1628,1552,8.292525773195877,5.360772545096796,0
8,1657,1581,8.169512966476914,5.284000801351254,0
9,1615,1539,8.334632878492528,5.432476646341433,0
