i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1153,1102,3.953720508166969,0.923891274468257,0
1,1119,1068,4.002808988764045,0.9456145441650262,0
2,1100,1049,4.03813155386082,0.9538816078915419,0
3,1132,1081,3.9814986123959297,0.9654675726827221,0
4,1137,1086,3.983425414364641,0.9517366396106196,0
5,1132,1081,3.9925994449583717,0.963698547010114,0
6,1110,1059,4.015108593012275,0.958909448300242,0
7,1144,1093,3.9771271729185727,0.9528827448619237,0
8,1148,1097,3.9453053783044667,0.9541533842485641,0
9,1133,1082,3.9824399260628467,0.9510507656143258,0
