i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2359,2218,6.8110910730387735,5.131624011491153,0
1,2409,2268,6.776455026455026,4.792597112258538,0
2,2436,2295,6.992156862745098,4.980128653417297,0
3,2476,2335,6.797858672376874,4.952994867311632,0
4,2262,2121,6.774163130598774,5.4965088632605985,0
5,2460,2319,6.756791720569211,4.757546853306462,0
6,2466,2325,6.764731182795699,4.920805422185084,0
7,2512,2371,6.90932096161957,4.8917210294114195,0
8,2508,2367,6.988170680185889,4.886790553894891,0
9,2479,2338,6.713857998289136,4.695682225811967,0
