i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1949,1831,3.1327143637356634,0.43265808039867004,0
1,1988,1870,3.148663101604278,0.45707255988753553,0
2,2053,1936,3.2644628099173554,0.5963885116946507,0
3,2274,2155,3.6092807424593967,0.7876701775836566,0
4,1998,1880,3.168085106382979,0.48095931750755083,0
5,1965,1848,3.1433982683982684,0.4564351438227364,0
6,2251,2118,3.653918791312559,0.814563635312558,0
7,2258,2125,3.6032941176470588,0.780520773715019,0
8,1964,1845,3.0932249322493224,0.3499634604644116,0
9,2247,2114,3.630558183538316,0.7825152726990678,0
