i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,647,611,17.268412438625205,14.917337991949656,287
1,661,625,16.8144,14.911282729530683,321
2,682,646,16.04953560371517,13.698682161915816,332
3,666,630,16.995238095238093,15.027328845969198,330
4,653,617,17.13776337115073,14.576422988960047,288
5,666,630,16.641269841269843,13.879808732507636,286
6,612,576,18.583333333333332,16.607394604680035,272
7,650,614,17.4185667752443,14.923552660291675,293
8,658,622,17.319935691318328,14.430191910749953,288
9,643,607,17.507413509060957,14.601218418569381,267
