i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1808,1721,8.09645554909936,5.298634798290348,0
1,1836,1749,8.433390508862207,5.605757984524917,0
2,1832,1745,8.617191977077363,5.75937179401644,0
3,1846,1759,8.41273450824332,5.507674873917271,0
4,1819,1732,8.439376443418015,5.598923236887864,0
5,1821,1734,8.602076124567475,5.849093844681724,0
6,1811,1724,8.587006960556845,5.7782870716632075,0
7,1842,1755,8.884330484330484,6.221711781031142,0
8,1814,1727,8.549507817023741,5.559673493850079,0
9,1837,1750,8.40857142857143,5.76089633048645,0
