i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,338,320,16.5625,13.80180581482003,162
1,334,316,16.47151898734177,14.252552921539534,151
2,348,330,15.863636363636363,13.149589650973171,164
3,355,337,16.148367952522253,15.334314190678331,174
4,334,316,16.825949367088608,15.809729740841524,164
5,330,312,16.798076923076923,14.451097780826409,145
6,323,305,17.449180327868852,15.765438677854377,146
7,353,335,15.934328358208955,14.173188396582354,167
8,341,323,16.563467492260063,15.744422464812459,157
9,331,313,16.472843450479232,15.14424986770109,166
