i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1815,1728,8.831597222222221,5.974288795793842,0
1,1824,1737,8.602763385146805,5.717888318725553,0
2,1809,1722,8.591173054587689,5.54603717593127,0
3,1792,1705,8.743695014662757,5.828084232319177,0
4,1845,1758,8.560864618885097,5.676879013938563,0
5,1838,1751,8.376356367789834,5.410661744218731,0
6,1802,1715,8.65597667638484,5.6097076541002195,0
7,1802,1715,8.587755102040816,5.610981676016811,0
8,1839,1752,8.490867579908675,5.764393038402775,0
9,1842,1755,8.214245014245014,5.295455444210671,0
