i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,336,318,16.830188679245282,14.431450432982135,152
1,325,307,17.179153094462542,14.812305230902954,152
2,334,316,16.7626582278481,13.578790163372927,163
3,325,307,17.21172638436482,15.112955568313732,149
4,333,315,16.815873015873017,14.604774239509819,156
5,316,298,17.973154362416107,14.88905111382629,154
6,373,355,14.726760563380282,13.235515151932558,193
7,310,292,18.181506849315067,15.886517517231256,164
8,334,316,17.060126582278482,15.989895701377758,149
9,345,327,16.08868501529052,14.55249152502072,175
