i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1583,1371,7.473377097009482,4.969768434863338,1351
1,1637,1425,7.96,7.342580453716407,1287
2,1863,1651,7.617807389460933,5.3866738040800834,1540
3,1821,1609,7.78744561839652,5.896102008501028,1535
4,1507,1295,7.415444015444016,5.040568326087301,1254
5,1725,1513,8.093853271645736,9.331830582444635,1178
6,1769,1557,8.955041746949261,8.736448462733305,1271
7,1710,1498,7.640854472630173,5.406615866789939,1461
8,1742,1530,8.712418300653594,8.138003482904738,1288
9,1737,1525,7.556065573770492,5.008612673558704,1528
