i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2562,2298,10.52567449956484,27.660686372270032,513
1,2560,2303,10.110725141120279,25.55112679254392,797
2,2578,2315,9.006911447084233,12.773147613806106,547
3,2601,2337,9.821138211382113,20.296004186861122,745
4,2638,2374,8.657118786857625,13.050657807364704,684
5,2558,2294,9.772449869224063,20.392949048492024,856
6,2566,2302,9.423110338835794,27.048721129460922,876
7,2625,2365,8.84862579281184,11.485993088262127,843
8,2546,2284,9.717162872154116,23.365849232148555,847
9,2541,2278,10.006584723441616,29.44567549966819,782
