i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,239,228,4.12280701754386,0.974592590339028,0
1,248,237,4.012658227848101,0.9434697281405134,0
2,252,241,3.970954356846473,0.9218344521945369,0
3,259,248,3.9475806451612905,0.996604210895066,0
4,263,252,3.9007936507936507,0.9564315317263031,0
5,237,226,4.119469026548672,1.0083157258631577,0
6,255,244,3.9631147540983607,0.9423288921230515,0
7,269,258,3.868217054263566,0.9390729798128463,0
8,254,243,3.97119341563786,0.9829793334540653,0
9,245,234,4.051282051282051,0.9726706019687517,0
