i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2207,2099,8.314911862791806,5.705694657855234,0
1,2188,2080,8.176442307692307,5.48933606365547,0
2,2192,2084,8.377159309021113,5.653101707650329,0
3,2217,2109,8.058321479374111,5.623893451374416,0
4,2223,2115,8.32434988179669,5.718267190337353,0
5,2196,2088,8.169061302681992,5.566960956505905,0
6,2160,2052,8.428362573099415,5.709097647992258,0
7,2180,2072,8.370173745173744,5.641864540295889,0
8,2209,2101,8.059495478343646,5.306662586624961,0
9,2167,2059,8.399222923749393,5.5933005942796346,0
