i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2429,2271,3.20519594892118,0.40384473683275424,0
1,2418,2263,3.240830755634114,0.4317017872707357,0
2,2459,2301,3.2785745328118208,0.45311885750851616,0
3,2485,2327,3.214009454232918,0.410133402360557,0
4,2500,2343,3.2603499786598378,0.4388255544879535,0
5,2555,2380,3.2831932773109243,0.450549492283392,0
6,2784,2608,3.0157208588957056,0.12439338202367055,0
7,2778,2605,3.1934740882917465,0.3959919440721517,0
8,2456,2298,3.218885987815492,0.4340292070085489,0
9,2448,2292,3.231675392670157,0.4260191386515941,0
