i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2016,1918,8.167883211678832,5.267997187943351,0
1,2016,1918,8.52711157455683,5.548162910176081,0
2,2060,1962,8.22782874617737,5.520472533958942,0
3,2026,1928,8.423755186721992,5.656340400687374,0
4,2065,1967,8.32791052364006,5.386132267157461,0
5,2034,1936,8.285640495867769,5.737051572610259,0
6,2013,1915,8.47467362924282,5.602849036131579,0
7,2031,1933,8.683911019141231,5.866239200309553,0
8,2055,1957,8.394481349003577,5.6168527165788324,0
9,2060,1962,8.213557594291538,5.462014101674104,0
