i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,323,305,17.37704918032787,15.296162525743988,147
1,348,330,15.842424242424242,14.209237931989778,174
2,323,305,17.40327868852459,15.014899345814996,151
3,337,319,16.29780564263323,15.109496740014867,188
4,327,309,16.702265372168284,15.216092700451592,162
5,341,323,16.45201238390093,14.523814775764441,163
6,324,306,17.254901960784313,15.313938890331041,136
7,334,316,16.696202531645568,15.92196510864806,165
8,306,288,17.725694444444443,16.22533703864875,145
9,338,320,16.71875,16.07333656828911,159
