i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1942,1824,3.067982456140351,0.29762415903802264,0
1,1936,1818,3.0654565456545653,0.2959301041623911,0
2,1971,1852,3.0869330453563717,0.3375395182828299,0
3,1904,1767,3.32088285229202,0.4927656740070109,0
4,2003,1884,3.127388535031847,0.4130480349658487,0
5,2080,1963,3.2664289353031073,0.5805725856177667,0
6,2325,2186,3.07227813357731,0.3074107959743824,0
7,2335,2197,3.0987710514337734,0.35544191361582544,0
8,1971,1852,3.075593952483801,0.30776211558709005,0
9,1974,1857,3.092622509423802,0.33633724162991413,0
