i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2040,1942,8.335736354273944,5.628432121355208,0
1,2044,1946,8.303186022610483,5.603144775064159,0
2,2025,1927,8.251686559418786,5.521996022451281,0
3,2010,1912,8.363493723849372,5.504675260047576,0
4,2047,1949,8.209338122113904,5.70618875168623,0
5,2018,1920,8.520833333333334,5.808541065151864,0
6,2051,1953,8.375320020481311,5.7310381227717535,0
7,2058,1960,8.42142857142857,5.6346187600785,0
8,2034,1936,8.443698347107437,5.6222267323247195,0
9,2013,1915,8.26005221932115,5.570272363262724,0
