i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2320,2201,8.044070876874148,5.615125494049301,0
1,2384,2265,7.900662251655629,5.3663430313871725,0
2,2381,2262,7.732095490716181,5.2640133329340735,0
3,2341,2222,7.982448244824482,5.505431222346807,0
4,2383,2264,7.893992932862191,5.4232745991736335,0
5,2351,2232,8.059587813620071,5.4736692471535955,0
6,2350,2231,8.18601523980278,5.595421532162043,0
7,2357,2238,7.9025915996425375,5.43105149684288,0
8,2405,2286,7.8718285214348205,5.405169334687798,0
9,2359,2240,7.823214285714286,5.396178908378084,0
