i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1930,1812,3.086644591611479,0.3383155252958099,0
1,1971,1851,3.1096704484062667,0.3908301288449075,0
2,1960,1842,3.086319218241042,0.332198320849913,0
3,1966,1848,3.128787878787879,0.4409678483929182,0
4,1984,1867,3.141403320835565,0.4527305263163835,0
5,1994,1875,3.135466666666667,0.42931975133796124,0
6,2128,2010,3.455721393034826,0.7304871965125098,0
7,2258,2125,3.4145882352941177,0.6974736814620176,0
8,2086,1968,3.3958333333333335,0.6884078755480149,0
9,2248,2115,3.5872340425531917,0.7665141134528629,0
