i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1952,1834,3.0670665212649943,0.29235144321378886,0
1,1951,1833,3.079105291871249,0.29685543502927575,0
2,1954,1836,3.082788671023965,0.31085667876055373,0
3,2165,2047,3.3693209574987786,0.6699617398356688,0
4,1957,1839,3.065252854812398,0.2741040647161519,0
5,2005,1887,3.151033386327504,0.4510809515513782,0
6,2038,1920,3.173958333333333,0.4819112970909573,0
7,2342,2205,3.057596371882086,0.26910893592979707,0
8,1957,1838,3.074537540805223,0.31013735321891595,0
9,2346,2208,3.066123188405797,0.2826072440505269,0
