i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1254,1183,16.543533389687237,14.114419167223657,453
1,1256,1185,16.19324894514768,12.91892100076869,487
2,1269,1198,15.964106844741236,13.255844353006026,494
3,1261,1190,16.428571428571427,13.877599039532768,480
4,1199,1128,16.95921985815603,14.133423369055615,472
5,1272,1201,16.05578684429642,13.292559640003159,493
6,1241,1170,16.44871794871795,14.096778533516485,486
7,1296,1225,15.984489795918368,13.809748266665522,510
8,1323,1252,15.678913738019169,13.027340484457685,502
9,1249,1178,16.606960950764005,13.491965254099567,470
