i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1107,913,6.729463307776561,4.0368208671003405,848
1,1570,1376,9.476017441860465,9.615092627336146,995
2,1585,1391,9.439252336448599,9.145623413533045,919
3,1361,1167,7.014567266495287,4.132214275822431,1109
4,1075,881,6.887627695800227,4.337346089852676,875
5,1469,1275,9.407058823529411,9.590098507768138,871
6,1516,1322,9.949319213313162,10.905438843050973,934
7,1840,1646,10.592345078979344,10.954547193797616,959
8,1455,1261,9.766058683584458,9.301283127212892,884
9,1456,1262,8.767036450079239,7.96752067274511,973
