i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,659,623,16.947030497592294,14.286185899478108,303
1,649,613,16.903752039151712,15.762683407530968,286
2,687,651,16.477726574500767,13.577474514296656,307
3,679,643,16.704510108864696,14.024409786550567,324
4,646,610,17.440983606557378,15.710619537294921,295
5,636,600,17.485,15.405619375193368,281
6,673,637,16.767660910518053,14.283714904853516,301
7,665,629,17.003179650238472,13.062038203744786,293
8,660,624,16.985576923076923,14.983156686177463,288
9,661,625,16.9632,15.367818510120427,317
