i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1759,1575,3.0152380952380953,0.3339368685837885,0
1,1772,1588,3.042821158690176,0.6568224407292345,0
2,1769,1585,3.076340694006309,0.650048664048365,0
3,1750,1566,3.079182630906769,0.9872046509412711,0
4,1778,1594,3.1066499372647427,1.1816957995931234,0
5,1789,1605,3.0722741433021805,0.7093572183062683,0
6,1761,1577,3.0837032339885857,1.361894492777206,0
7,1775,1591,3.0911376492771843,1.0570719139848137,0
8,1775,1591,3.042740414833438,1.0315859080691205,0
9,1869,1685,3.304451038575668,1.422752090737432,0
