i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2206,2098,8.127264061010486,5.549371974519938,0
1,2229,2121,8.214049976426214,5.56191083199946,0
2,2207,2099,8.212958551691282,5.619243442732885,0
3,2222,2114,8.192526017029328,5.592967688478603,0
4,2216,2108,8.308823529411764,5.614089920618463,0
5,2197,2089,8.098133078027764,5.38551515097317,0
6,2241,2133,8.221284575714956,5.607306936766063,0
7,2207,2099,7.997617913292044,5.203390074329843,0
8,2224,2116,8.171550094517958,5.6836384797481205,0
9,2236,2128,8.38345864661654,5.749186676066435,0
