i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2590,2317,9.51963746223565,15.147018783575266,394
1,2540,2281,9.756247259973696,32.127175454184936,364
2,2568,2296,9.379355400696864,26.994132326716795,347
3,2558,2294,8.637314734088928,23.49379192201181,356
4,2592,2316,9.35405872193437,11.944273164144192,399
5,2636,2358,9.259966072943172,19.374787101594112,372
6,2553,2285,8.516849015317286,13.458626142456422,383
7,2649,2369,7.898269311945969,14.858108731025334,350
8,2651,2374,7.603201347935973,9.643437071223808,371
9,2554,2284,9.109019264448337,20.204404833968763,356
