i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1499,1323,10.80196523053666,9.590958314925569,786
1,1260,1084,10.181734317343173,8.522879904292449,713
2,1649,1473,11.64969450101833,10.799010614537915,751
3,1676,1500,12.008666666666667,10.961413757155395,689
4,1258,1082,10.241219963031423,9.216538698051908,722
5,1444,1268,11.276813880126182,10.642448127732607,733
6,1440,1264,10.722310126582279,10.968941007007647,740
7,1629,1453,10.812112869924295,9.707338480805573,823
8,1606,1430,11.951748251748251,11.551213741493047,727
9,1506,1330,11.025563909774435,9.407928620190912,787
