i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,720,687,7.5152838427947595,4.1800088310588785,0
1,709,676,7.383136094674557,3.9470923594342553,0
2,702,669,7.541106128550075,4.386778542536982,0
3,702,669,7.754857997010463,4.770330061550053,0
4,696,663,7.607843137254902,4.470455926702404,0
5,700,667,7.598200899550225,4.255399223380107,0
6,707,674,7.385756676557864,3.9401500340649553,0
7,711,678,7.811209439528024,4.775465012842042,0
8,684,651,7.493087557603687,4.255423736080024,0
9,717,684,7.755847953216374,4.9219383882114585,0
