i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2547,2283,10.973718791064389,29.395847030791128,872
1,2573,2314,10.238547968885047,24.82387677312269,552
2,2571,2314,10.00086430423509,22.698124137397233,813
3,2604,2340,9.096581196581196,21.929921142202865,760
4,2534,2270,9.519823788546255,18.999334650180945,639
5,2585,2323,8.820060266896254,15.830499956774275,896
6,2619,2357,9.969876962240136,29.2316459047616,674
7,2565,2303,10.452019105514546,31.28757019457545,909
8,2546,2285,9.838074398249454,22.233651703318706,644
9,2548,2284,10.004816112084063,22.474123542292062,1050
