i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2366,2227,3.0794791198922318,0.3149701490328931,0
1,2367,2224,3.0485611510791366,0.2149487512990153,0
2,2402,2257,3.0744350908285334,0.2912814527016709,0
3,2419,2262,3.301503094606543,0.49326807171555087,0
4,2352,2210,3.05972850678733,0.2640751273743332,0
5,2381,2223,3.049032838506523,0.2377501955137822,0
6,2368,2230,3.067713004484305,0.2685080322327142,0
7,2722,2565,3.0729044834307992,0.29509760608043195,0
8,2357,2219,3.056331680937359,0.23825123344931864,0
9,2759,2600,3.056153846153846,0.2701862167394487,0
