i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1730,1624,15.564655172413794,12.694720092654569,559
1,1730,1624,15.574507389162562,12.615549299057115,561
2,1732,1626,15.615621156211562,12.510039344173252,564
3,1780,1674,15.36021505376344,12.32281325820219,617
4,1694,1588,15.821788413098236,12.423280081583032,561
5,1737,1631,15.242795830778663,12.670029445031268,568
6,1750,1644,15.413625304136254,12.37331754625569,605
7,1710,1604,15.736907730673316,12.962178221785555,583
8,1718,1612,15.618486352357321,12.733047629190471,542
9,1730,1624,15.336206896551724,12.312545942363407,575
