i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,944,900,7.692222222222222,4.431922777550715,0
1,958,914,7.780087527352298,4.732077507984532,0
2,941,897,7.88628762541806,4.8265802211049005,0
3,941,897,7.725752508361204,4.400584626846119,0
4,949,905,7.881767955801105,5.039112125958172,0
5,931,887,7.871476888387824,4.740545490814375,0
6,953,909,7.672167216721673,4.5760059436894345,0
7,943,899,7.7208008898776415,4.548700877177195,0
8,946,902,7.634146341463414,4.364651942280599,0
9,940,896,7.972098214285714,4.955415334077568,0
