i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2015,1902,3.8117770767613037,0.8911930924400759,0
1,2033,1920,3.825,0.9103570728016562,0
2,1986,1873,3.8766684463427654,0.9174439326285359,0
3,2019,1906,3.868310598111228,0.923616335622145,0
4,2030,1917,3.84037558685446,0.8902048932670449,0
5,2028,1915,3.851697127937337,0.8914686987806075,0
6,2019,1906,3.834732423924449,0.8968116292692411,0
7,2011,1898,3.867755532139094,0.9100210857360107,0
8,2004,1891,3.8397673188789,0.9296939152796697,0
9,1990,1877,3.8716036228023443,0.914005298809691,0
