i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1975,1858,3.063509149623251,0.2788816667316032,0
1,1964,1846,3.090465872156013,0.32575622440873236,0
2,2410,2271,3.1215323645970936,0.3744698688575189,0
3,2338,2187,3.230452674897119,0.4474445307200244,0
4,2362,2221,3.04952723998199,0.23870429505594257,0
5,2362,2219,3.0414601171698963,0.21875314376971716,0
6,1970,1850,3.081081081081081,0.31178460846312944,0
7,2362,2209,3.0470801267541874,0.23797819250415345,0
8,2362,2225,3.0813483146067417,0.3203060019055372,0
9,2345,2209,3.0629244001810774,0.26253414563737343,0
