i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2048,1950,8.13025641025641,5.363834969057066,0
1,2035,1937,8.250387196695922,5.421498830225317,0
2,2046,1948,8.420431211498974,5.641345374772339,0
3,2043,1945,8.348071979434447,5.484418464808515,0
4,2025,1927,8.297872340425531,5.661211042742536,0
5,2081,1983,8.18507312153303,5.520926044560778,0
6,2018,1920,8.554166666666667,5.724871116938403,0
7,2015,1917,8.403234220135628,5.547034150836391,0
8,2023,1925,8.313766233766234,5.562232813127411,0
9,2062,1964,8.208248472505092,5.654415680488325,0
