i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1666,1454,7.766850068775791,6.395061399080999,1395
1,1673,1461,8.094455852156058,6.124365063258775,1386
2,1771,1559,8.359846055163567,7.991300849317721,1256
3,1669,1457,7.577213452299245,5.343105262035525,1410
4,1647,1435,7.92822299651568,6.160207639869003,1371
5,1691,1479,7.968897903989182,7.470499534062429,1234
6,1811,1599,7.91494684177611,5.831082355141818,1461
7,1777,1565,7.601916932907348,5.193938113847724,1498
8,1800,1588,7.903652392947103,5.785756136026415,1492
9,1755,1543,7.73752430330525,5.471821253544784,1437
