i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1621,1545,8.332038834951456,5.3541662740711775,0
1,1611,1535,8.586970684039088,5.648564397112442,0
2,1586,1510,8.567549668874172,5.674423268169281,0
3,1613,1537,8.381262199089134,5.500610976375689,0
4,1622,1546,8.582147477360932,5.64816122927732,0
5,1630,1554,8.378378378378379,5.427390938795394,0
6,1617,1541,8.419857235561324,5.688504772502392,0
7,1587,1511,8.71409662475182,5.980361072585796,0
8,1594,1518,8.415678524374176,5.41594695843679,0
9,1610,1534,8.471316818774445,5.7502473128621405,0
