i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1514,1442,3.9667128987517337,0.9598031391790017,0
1,1522,1450,3.970344827586207,0.9379819965870997,0
2,1531,1459,3.9472241261137766,0.9442790685825343,0
3,1526,1454,3.9938101788170566,0.9631962965284115,0
4,1496,1424,3.984550561797753,0.9633961290020262,0
5,1524,1452,3.9579889807162534,0.9715077769941516,0
6,1512,1440,3.9833333333333334,0.9470715096783582,0
7,1495,1423,4.002810962754744,0.9732864669956892,0
8,1520,1448,3.9861878453038675,0.9690385666833218,0
9,1526,1454,3.984181568088033,0.9399567492998546,0
