i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2079,1960,3.1525510204081635,0.35955417753183094,0
1,2398,2261,3.076514816452897,0.26747871628997516,0
2,2414,2259,3.0469234174413455,0.21147484563647503,0
3,2429,2275,3.2584615384615385,0.45838925604683584,0
4,2089,1970,3.1192893401015227,0.32412866803117873,0
5,2383,2228,3.2087073608617596,0.4063847910341611,0
6,2438,2282,3.236634531113059,0.4250160347539391,0
7,2794,2618,3.1653934300993125,0.371535251866221,0
8,2379,2223,3.0701754385964914,0.2853860164725787,0
9,2438,2280,3.2478070175438596,0.4317391568990203,0
