i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1520,1432,15.758379888268156,13.181066057158311,538
1,1495,1407,16.53731343283582,13.861734514701247,527
2,1529,1441,15.801526717557252,13.379146166523174,548
3,1545,1457,15.800274536719286,12.744005006949285,577
4,1518,1430,15.974825174825174,13.439402815838182,587
5,1502,1414,16.361386138613863,13.058629939637692,532
6,1521,1433,15.956036287508724,13.287686671776562,525
7,1516,1428,15.893557422969188,12.715531778465563,523
8,1514,1426,15.981767180925667,12.588467471722234,519
9,1507,1419,15.915433403805498,13.578624228792952,531
