i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,2336,2217,8.151105096977899,5.549318788221836,0
1,2395,2276,7.8268892794376095,5.271945278488331,0
2,2352,2233,7.729064039408867,5.281043834170823,0
3,2372,2253,7.945849977807368,5.477444112611977,0
4,2392,2273,7.99076110866696,5.4783020378086125,0
5,2361,2242,7.924620874219447,5.378877185018997,0
6,2352,2233,7.889834303627407,5.299997010480545,0
7,2350,2231,7.9955177050649935,5.423770051125069,0
8,2376,2257,7.890562693841383,5.567564182691669,0
9,2420,2301,8.028248587570621,5.465675113929177,0
