i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1339,1277,3.995301487862177,0.9742060232948374,0
1,1344,1282,3.9641185647425896,0.9439640972153747,0
2,1381,1319,3.912054586808188,0.9022750842031104,0
3,1387,1325,3.9245283018867925,0.9478686439481662,0
4,1349,1287,3.988344988344988,0.9715555078117079,0
5,1349,1287,3.988344988344988,0.9763422115648154,0
6,1344,1282,3.9781591263650546,0.977671329726392,0
7,1357,1295,3.955212355212355,0.9735507263010622,0
8,1341,1279,3.9945269741985925,0.9698188609229399,0
9,1324,1262,4.038034865293185,0.9719416768459497,0
