i,n_total,n_finished,turns_avg,turns_std,n_waiting
0,1777,1653,14.908045977011493,12.513224051282537,596
1,1888,1764,15.304421768707483,12.669654264348344,597
2,1926,1802,15.016648168701442,11.926418425821712,581
3,1920,1796,14.783407572383073,12.131855982953436,599
4,1982,1858,14.852529601722281,11.556422943735916,591
5,1934,1810,14.934806629834254,11.755292852391253,597
6,1872,1748,15.27345537757437,11.934683230152064,558
7,1911,1787,15.29546726357023,12.372867613668147,619
8,1926,1802,14.9661487236404,12.408308212348798,603
9,1919,1795,14.747632311977716,11.728371368231672,611
